time,source,device_name,fragment_series,value,unit,ObjectId
2019-08-14T19:26:38.611Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,23.28,ug/m3,1
2019-07-19T03:18:00.637Z,13955,MQTT Device 548018FDC337DE6F,PM10.v,7.88,ug/m3,2
2019-08-02T03:35:53.019Z,896,MQTT Device 132218FDC337DEBC,PM10.v,3.24,ug/m3,3
2019-07-23T21:07:20.399Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,4
2019-07-12T06:16:59.153Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,5.29,ug/m3,5
2019-08-18T20:33:18.974Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,6
2019-08-17T23:11:46.215Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,7
2019-07-21T17:38:08.091Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,33.71,ug/m3,8
2019-08-29T09:39:09.107Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,9.6,ug/m3,9
2019-09-03T17:33:44.510Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,10
2019-08-23T06:36:04.702Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,11
2019-07-14T01:00:53.696Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,12.6,ug/m3,12
2019-07-10T16:50:50.250Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,25.07,ug/m3,13
2019-07-14T08:48:44.785Z,13955,MQTT Device 548018FDC337DE6F,PM10.v,5.53,ug/m3,14
2019-07-08T08:04:57.597Z,1076,MQTT Device 5B3A18FDC337DEC2,PM10.v,4.25,ug/m3,15
2019-07-27T12:44:06.555Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,16
2019-08-04T15:50:59.596Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,17
2019-08-14T19:56:01.523Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,18
2019-08-25T21:28:10.185Z,896,MQTT Device 132218FDC337DEBC,PM10.v,18.09,ug/m3,19
2019-07-18T18:34:32.651Z,11479,MQTT Device 502510FDC337DE59,PM10.v,39.61,ug/m3,20
2019-08-20T18:51:45.171Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,2.72,ug/m3,21
2019-07-29T02:51:27.139Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,17.67,ug/m3,22
2019-08-28T22:25:02.086Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,11.01,ug/m3,23
2019-07-18T18:13:26.547Z,1244,MQTT Device 577218FDC337DE64,PM10.v,18.69,ug/m3,24
2019-09-03T01:20:38.484Z,896,MQTT Device 132218FDC337DEBC,PM10.v,0,ug/m3,25
2019-09-03T19:39:35.487Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,38.63,ug/m3,26
2019-08-21T10:08:41.699Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,27
2019-08-16T15:26:07.419Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,28
2019-08-19T19:51:36.198Z,793,MQTT Device 2E3818FDC337DE0D,PM10.v,15.69,ug/m3,29
2019-08-14T16:16:36.148Z,13955,MQTT Device 548018FDC337DE6F,PM10.v,20.43,ug/m3,30
2019-08-01T07:49:28.388Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,1.58,ug/m3,31
2019-09-02T09:36:46.425Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,3.75,ug/m3,32
2019-07-06T23:05:15.928Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,10.94,ug/m3,33
2019-07-13T04:26:11.966Z,1244,MQTT Device 577218FDC337DE64,PM10.v,1.28,ug/m3,34
2019-07-07T16:57:07.217Z,793,MQTT Device 2E3818FDC337DE0D,PM10.v,11.76,ug/m3,35
2019-07-28T18:14:33.574Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,25.06,ug/m3,36
2019-07-25T06:49:34.456Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,37
2019-08-02T16:35:43.758Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,4.42,ug/m3,38
2019-08-23T17:25:46.822Z,793,MQTT Device 2E3818FDC337DE0D,PM10.v,12.07,ug/m3,39
2019-09-01T03:25:44.131Z,11479,MQTT Device 502510FDC337DE59,PM10.v,11.05,ug/m3,40
2019-07-15T05:58:42.846Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,41
2019-07-11T09:55:47.748Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,42
2019-08-24T19:02:22.588Z,1244,MQTT Device 577218FDC337DE64,PM10.v,12.47,ug/m3,43
2019-07-15T11:07:37.858Z,793,MQTT Device 2E3818FDC337DE0D,PM10.v,11.15,ug/m3,44
2019-07-08T01:12:07.653Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,6.75,ug/m3,45
2019-07-25T16:28:51.221Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,9.01,ug/m3,46
2019-08-12T01:41:15.596Z,11889,MQTT Device 5B5218FDC337DEC0,PM10.v,0,ug/m3,47
2019-08-20T09:51:55.615Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,11.88,ug/m3,48
2019-07-25T22:28:51.677Z,793,MQTT Device 2E3818FDC337DE0D,PM10.v,15.39,ug/m3,49
2019-08-31T07:08:42.112Z,1244,MQTT Device 577218FDC337DE64,PM10.v,6.21,ug/m3,50
2019-07-28T15:37:56.083Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,9.18,ug/m3,51
2019-07-20T14:14:36.878Z,12429,MQTT Device 2A6F18FDC337DE4F,PM10.v,7.34,ug/m3,52
2019-07-20T10:41:54.688Z,12110,MQTT Device 3B6E10FDC337DE73,PM10.v,10.14,ug/m3,53
