time,source,device_name,fragment_series,value,unit,ObjectId
2019-07-09T02:06:39.269Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0.024,ppm,59
2019-08-16T03:38:43.832Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.028,ppm,60
2019-08-31T13:08:37.753Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,61
2019-07-19T00:22:28.456Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.03,ppm,62
2019-07-30T11:09:57.218Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.019,ppm,63
2019-08-31T11:18:37.653Z,793,MQTT Device 2E3818FDC337DE0D,NO2.v,0,ppm,64
2019-07-29T22:24:27.054Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.004,ppm,65
2019-08-02T18:17:54.153Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.05,ppm,66
2019-07-21T02:28:06.584Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,67
2019-08-01T14:19:19.828Z,793,MQTT Device 2E3818FDC337DE0D,NO2.v,0,ppm,68
2019-07-09T11:19:22.336Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,69
2019-08-16T04:58:44.207Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,70
2019-09-01T02:56:48.418Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,71
2019-08-17T09:09:59.036Z,793,MQTT Device 2E3818FDC337DE0D,NO2.v,0,ppm,72
2019-08-31T19:37:42.757Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,73
2019-07-15T22:05:09.711Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,74
2019-08-23T11:29:07.149Z,793,MQTT Device 2E3818FDC337DE0D,NO2.v,0,ppm,75
2019-07-30T20:12:04.538Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,76
2019-07-13T14:12:01.368Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0,ppm,77
2019-08-21T14:22:33.900Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.054,ppm,78
2019-07-20T18:27:34.805Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0,ppm,79
