time,source,device_name,fragment_series,value,unit,ObjectId
2019-08-17T18:43:53.207Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8059
2019-07-10T23:18:05.461Z,11479,MQTT Device 502510FDC337DE59,O3.v,0.005,ppm,8060
2019-07-08T10:09:57.179Z,1244,MQTT Device 577218FDC337DE64,O3.v,0.003,ppm,8061
2019-08-20T01:31:30.276Z,11889,MQTT Device 5B5218FDC337DEC0,O3.v,0,ppm,8062
2019-07-17T17:40:20.186Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0.008,ppm,8063
2019-07-31T17:54:03.789Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8064
2019-08-01T18:32:21.143Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8065
2019-08-21T04:26:42.225Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8066
2019-07-27T20:06:17.910Z,11479,MQTT Device 502510FDC337DE59,O3.v,0,ppm,8067
2019-08-28T08:58:36.921Z,793,MQTT Device 2E3818FDC337DE0D,O3.v,0.099,ppm,8068
2019-07-13T14:45:53.194Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8069
2019-07-06T16:21:14.599Z,793,MQTT Device 2E3818FDC337DE0D,O3.v,0.076,ppm,8070
2019-08-22T00:25:31.068Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8071
2019-07-14T13:13:52.558Z,11479,MQTT Device 502510FDC337DE59,O3.v,0.012,ppm,8072
2019-07-08T21:35:27.426Z,793,MQTT Device 2E3818FDC337DE0D,O3.v,0.071,ppm,8073
2019-07-11T13:57:51.752Z,896,MQTT Device 132218FDC337DEBC,O3.v,0.039,ppm,8074
2019-07-17T23:04:56.234Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8075
2019-08-16T02:31:20.173Z,11889,MQTT Device 5B5218FDC337DEC0,O3.v,0,ppm,8076
2019-07-08T09:47:32.562Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0.066,ppm,8077
2019-08-14T23:45:55.757Z,11479,MQTT Device 502510FDC337DE59,O3.v,0,ppm,8078
2019-07-21T22:54:46.935Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0.027,ppm,8079
2019-07-15T09:42:20.872Z,793,MQTT Device 2E3818FDC337DE0D,O3.v,0.078,ppm,8080
2019-07-27T16:44:04.486Z,896,MQTT Device 132218FDC337DEBC,O3.v,0.028,ppm,8081
2019-07-16T18:12:56.807Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8082
2019-08-01T20:53:10.518Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8083
2019-07-07T01:05:12.087Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8084
2019-08-29T08:21:41.846Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8085
2019-08-16T11:27:16.078Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0.007,ppm,8086
2019-07-09T01:04:06.996Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8087
2019-07-24T19:11:15.281Z,14272,MQTT Device 752B18FDC337DEF2,O3.v,0,ppm,8088
2019-08-06T22:44:41.359Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8089
2019-08-06T05:13:50.586Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8090
2019-08-31T06:45:13.830Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8091
2019-08-26T05:48:50.227Z,11479,MQTT Device 502510FDC337DE59,O3.v,0.017,ppm,8092
2019-08-27T11:27:41.925Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0,ppm,8093
2019-07-23T20:27:16.159Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8094
2019-07-12T16:16:00.283Z,896,MQTT Device 132218FDC337DEBC,O3.v,0.036,ppm,8095
2019-07-19T05:03:01.130Z,11479,MQTT Device 502510FDC337DE59,O3.v,0.012,ppm,8096
2019-07-17T03:56:13.939Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0.006,ppm,8097
2019-08-08T02:00:44.389Z,11479,MQTT Device 502510FDC337DE59,O3.v,0.013,ppm,8098
2019-08-06T00:09:42.799Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8099
2019-08-15T02:15:42.892Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0.005,ppm,8100
2019-07-31T16:25:42.737Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8101
2019-09-04T01:21:23.309Z,14272,MQTT Device 752B18FDC337DEF2,O3.v,0,ppm,8102
2019-08-18T01:11:16.906Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0,ppm,8103
2019-07-16T09:38:12.700Z,12110,MQTT Device 3B6E10FDC337DE73,O3.v,0,ppm,8104
2019-07-31T05:48:24.009Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8105
2019-08-31T05:54:39.855Z,13955,MQTT Device 548018FDC337DE6F,O3.v,0.001,ppm,8106
2019-08-17T18:25:04.816Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0.033,ppm,8107
2019-09-03T01:28:15.592Z,12429,MQTT Device 2A6F18FDC337DE4F,O3.v,0,ppm,8108
2019-07-30T06:19:02.890Z,896,MQTT Device 132218FDC337DEBC,O3.v,0,ppm,8109
2019-08-31T07:25:36.121Z,1244,MQTT Device 577218FDC337DE64,O3.v,0,ppm,8110
2019-07-25T00:05:45.061Z,11889,MQTT Device 5B5218FDC337DEC0,O3.v,0,ppm,8111
